TGLREPLENISH,JAMREPLENISH,ATMID,TYPEATMCRM,TELLERID,CABANG,ESCROW,REFUNDDENOM50K,REFUNDDENOM100K,REFUNDTOTAL,REPLENISHDENOM50K,REPLENISHDENOM100K,REPLENISHTOTAL
1260819,144110,"ZZLK      ",CRM,"W36K      ",42004,0000000000000000000,7980000000,29810000000,37790000000,2000000000,4000000000,6000000000
1260819,132743,"ZZYF      ",CRM,"W49F      ",47007,0000000800164118500,6235000000,19740000000,25975000000,20000000000,28000000000,48000000000
1260819,142351,"A056      ",ATM50K,"Z4DT      ",47007,0000000800178531200,4285000000,0,4285000000,25000000000,0,25000000000
1260819,142251,"H154      ",CRM,"W55J      ",16031,0000000000000000000,1445000000,15910000000,17355000000,5000000000,10000000000,15000000000
1260819,103342,"6429      ",ATM50K,"Z214      ",47007,0000000800164118500,845000000,0,845000000,24000000000,0,24000000000
1260819,100503,"B655      ",ATM50K,"Z8FE      ",28503,0000000000000000000,6270000000,0,6270000000,10000000000,0,10000000000
1260819,200232,"ZZUZ      ",CRM,"W45Z      ",47007,0000000800164118500,0,0,0,0,0,0
1260819,95528,"6197      ",ATM50K,"Z1VB      ",44006,0000000000000000000,4370000000,0,4370000000,30000000000,0,30000000000
1260819,90344,"3030      ",ATM50K,"Z0UB      ",29005,0000000000000000000,9660000000,0,9660000000,10000000000,0,10000000000
1260819,120528,"B040      ",ATM50K,"Z7IF      ",39005,0000000000000000000,5960000000,0,5960000000,10000000000,0,10000000000
1260819,93614,"A212      ",ATM100K,"Z4I6      ",24028,0000000000000000000,0,150000000,150000000,0,10000000000,10000000000
1260819,165107,"ZZBI      ",CRM,"W1II      ",47007,0000000800034862000,9045000000,35230000000,44275000000,8000000000,8000000000,16000000000
1260819,93134,"ZZGV      ",CRM,"W30V      ",32008,0000000000000000000,5065000000,20010000000,25075000000,5000000000,10000000000,15000000000
1260819,215940,"ZZ5L      ",CRM,"W11L      ",47007,0000000800034997200,0,0,0,0,0,0
1260819,163334,"1300      ",ATM100K,"Z07U      ",16010,0000000000000000000,0,10750000000,10750000000,0,20000000000,20000000000
1260819,140925,"8171      ",ATM100K,"Z2KA      ",39035,0000000000000000000,0,14890000000,14890000000,0,20000000000,20000000000
1260819,94108,"H368      ",CRM,"W63P      ",14,0000000000000000000,1800000000,8100000000,9900000000,5000000000,10000000000,15000000000
1260819,11911,"4333      ",ATM50K,"Z32W      ",47007,0000000800178541700,2440000000,0,2440000000,15000000000,0,15000000000
1260819,190423,"H306      ",CRM,"W61F      ",47007,0000000800034806800,1480000000,6800000000,8280000000,14000000000,18000000000,32000000000
1260819,131358,"ZZ5L      ",CRM,"W11L      ",47007,0000000800034997200,2235000000,33870000000,36105000000,2400000000,33600000000,36000000000
1260819,110825,"6833      ",ATM100K,"Z2BK      ",47007,0000000800164118500,0,0,0,0,75000000000,75000000000
1260819,145512,"H383      ",CRM,"WH4E      ",37,0000000000000000000,4445000000,4750000000,9195000000,5000000000,10000000000,15000000000
1260819,120009,"ZZJF      ",CRM,"W33F      ",47007,0000000800164118500,10625000000,12090000000,22715000000,10000000000,10000000000,20000000000
1260819,160855,"1954      ",ATM50K,"Z0NH      ",47007,0000000800187658100,11615000000,0,11615000000,20000000000,0,0
1260819,150447,"A926      ",ATM50K,"Z7EF      ",29036,0000000000000000000,6000000000,0,6000000000,0,0,0
1260819,85306,"3860      ",ATM100K,"Z1FW      ",39018,0000000000000000000,0,12620000000,12620000000,0,15000000000,15000000000
1260819,100954,"4646      ",ATM50K,"Z3AT      ",47007,0000000800164118500,17990000000,0,17990000000,40000000000,0,40000000000
1260819,113332,"A827      ",ATM50K,"Z6ZA      ",8053,0000000000000000000,5835000000,0,5835000000,10000000000,0,10000000000
1260819,172622,"ZZYA      ",CRM,"W49A      ",47007,0000000800164118500,6065000000,27300000000,33365000000,15500000000,28000000000,43500000000
1260819,132212,"8068      ",ATM100K,"Z2HR      ",39041,0000000000000000000,0,20430000000,20430000000,0,20000000000,20000000000
1260819,83307,"H255      ",CRM,"W59G      ",47007,0000000800164118500,0,0,0,0,0,0
1260819,93037,"H394      ",CRM,"W64P      ",39085,0000000000000000000,670000000,4380000000,5050000000,1000000000,4000000000,5000000000
1260819,133223,"3061      ",ATM50K,"Z0V5      ",47007,0000000800164118500,0,0,0,30000000000,0,30000000000
1260819,184822,"B702      ",ATM50K,"Z9BA      ",47007,0000000800178538600,2480000000,0,2480000000,7000000000,0,7000000000
1260819,62012,"H378      ",CRM,"W63Z      ",43506,0000000000000000000,0,0,0,0,0,0
1260819,93855,"5554      ",ATM100K,"Z3VI      ",23010,0000000000000000000,0,21470000000,21470000000,0,10000000000,10000000000
1260819,90811,"4123      ",ATM50K,"Z2XY      ",47007,0000000800164118500,23580000000,0,23580000000,37500000000,0,0
1260819,82542,"A730      ",ATM100K,"Z6VI      ",24008,0000000000000000000,0,26330000000,26330000000,0,10000000000,10000000000
1260819,73932,"5477      ",ATM50K,"Z3TK      ",47007,0000000800164118500,7080000000,0,7080000000,23000000000,0,23000000000
1260819,90818,"ZZDP      ",CRM,"W26P      ",29005,0000000000000000000,6550000000,18920000000,25470000000,2000000000,4000000000,6000000000
1260819,81737,"ZZWR      ",CRM,"W47R      ",47007,0000000800164118500,0,0,0,0,0,0
1260819,113546,"4660      ",ATM50K,"Z3B7      ",47007,0000000800164118500,2435000000,0,2435000000,19500000000,0,19500000000
1260819,112931,"6469      ",ATM50K,"Z226      ",47007,0000000800164118500,0,0,0,37500000000,0,37500000000
1260819,151352,"ZZXR      ",CRM,"W48R      ",47007,0000000800164118500,13040000000,23710000000,36750000000,20000000000,28000000000,48000000000
1260819,102432,"ZZNL      ",CRM,"W38L      ",47007,0000000800034806800,12560000000,21910000000,34470000000,20000000000,28000000000,48000000000
1260819,163113,"ZZOX      ",CRM,"W39X      ",16010,0000000000000000000,640000000,13040000000,13680000000,10000000000,10000000000,20000000000
1260819,142047,"ZZEZ      ",CRM,"W29Z      ",42000,0000000000000000000,12520000000,55130000000,67650000000,3000000000,2000000000,5000000000
1260819,150008,"A548      ",ATM100K,"Z6PX      ",20017,0000000000000000000,0,28420000000,28420000000,0,40000000000,40000000000
1260819,94912,"ZZAP      ",CRM,"W1AP      ",47007,0000000800164118500,16115000000,35320000000,51435000000,14000000000,34000000000,48000000000
1260819,161955,"H338      ",CRM,"W62L      ",59,0000000000000000000,940000000,4850000000,5790000000,1000000000,4000000000,5000000000
1260819,153657,"ZZRT      ",CRM,"W42T      ",39015,0000000000000000000,645000000,3430000000,4075000000,1000000000,2000000000,3000000000
1260819,90242,"A386      ",ATM100K,"Z5M4      ",44500,0000000000000000000,0,33980000000,33980000000,0,40000000000,40000000000
1260819,123508,"ZZFZ      ",CRM,"W27Z      ",37,0000000000000000000,3175000000,12950000000,16125000000,5000000000,10000000000,15000000000
1260819,152140,"4138      ",ATM100K,"Z2Y3      ",30500,0000000000000000000,0,32640000000,32640000000,0,20000000000,20000000000
1260819,223520,"A149      ",ATM50K,"Z4GE      ",47007,0000000800034908900,7045000000,0,7045000000,20000000000,0,20000000000
1260819,120343,"A490      ",ATM50K,"Z6OB      ",47007,0000000800184942600,8380000000,0,8380000000,35000000000,0,35000000000
1260819,184439,"ZZ14      ",CRM,"W00H      ",47007,0000000800164118500,800000000,30170000000,30970000000,1500000000,28000000000,29500000000
1260819,114121,"ZZ00      ",CRM,"W003      ",47007,0000000800164118500,2680000000,10590000000,13270000000,5000000000,5000000000,10000000000
1260819,85830,"H048      ",CRM,"W07V      ",47007,0000000800034997200,985000000,11440000000,12425000000,3600000000,10800000000,14400000000
1260819,105425,"9709      ",ATM100K,"Z2WQ      ",27006,0000000000000000000,0,7370000000,7370000000,0,10000000000,10000000000
1260819,93800,"ZZY4      ",CRM,"W20Y      ",47007,0000000800164118500,8005000000,12150000000,20155000000,14000000000,17000000000,31000000000
1260819,91423,"8521      ",ATM100K,"Z2QF      ",27517,0000000000000000000,0,9110000000,9110000000,0,20000000000,20000000000
1260819,73715,"6389      ",ATM50K,"Z203      ",47007,0000000800164118500,8055000000,0,8055000000,25500000000,0,25500000000
1260819,14149,"3055      ",ATM50K,"Z0UZ      ",47007,0000000800164118500,7470000000,0,7470000000,20500000000,0,20500000000
1260819,112011,"5904      ",ATM100K,"Z446      ",47007,0000000800164118500,0,6080000000,6080000000,0,60000000000,60000000000
1260819,131533,"ZZN3      ",CRM,"W19N      ",23025,0000000000000000000,6450000000,18730000000,25180000000,1000000000,2000000000,3000000000
1260819,72707,"8719      ",ATM50K,"Z2SH      ",31001,0000000000000000000,7140000000,0,7140000000,12500000000,0,12500000000
1260819,103912,"ZZQ3      ",CRM,"W19Q      ",27512,0000000000000000000,5675000000,7990000000,13665000000,5000000000,5000000000,10000000000
1260819,90350,"B541      ",ATM50K,"Z8AV      ",47007,0000000800178538600,1325000000,0,1325000000,12000000000,0,12000000000
1260819,110800,"4123      ",ATM50K,"Z2XY      ",47007,0000000800164118500,0,0,0,37500000000,0,37500000000
1260819,83032,"3199      ",ATM50K,"Z0YK      ",45502,0000000000000000000,11210000000,0,11210000000,20000000000,0,20000000000
1260819,145445,"A925      ",ATM50K,"Z7DU      ",28505,0000000000000000000,4980000000,0,4980000000,0,0,0
1260819,13638,"6376      ",ATM50K,"Z1ZR      ",47007,0000000800164118500,6450000000,0,6450000000,32500000000,0,32500000000
1260819,102755,"5840      ",ATM100K,"Z1PX      ",23010,0000000000000000000,0,20030000000,20030000000,0,10000000000,10000000000
1260819,122928,"A373      ",ATM50K,"Z5LP      ",47007,0000000800164118500,6000000000,0,6000000000,14500000000,0,14500000000
1260819,164240,"1467      ",ATM50K,"Z0C4      ",47007,0000000800034806800,0,0,0,36000000000,0,36000000000
1260819,103910,"1914      ",ATM100K,"Z0MQ      ",47007,0000000800164118500,0,14450000000,14450000000,0,31000000000,31000000000
1260819,30933,"B549      ",ATM50K,"Z8BD      ",47007,0000000800164118500,8770000000,0,8770000000,27500000000,0,27500000000
1260819,161400,"ZZB3      ",CRM,"W19B      ",16017,0000000000000000000,1115000000,4120000000,5235000000,5000000000,15000000000,20000000000
1260819,164004,"ZZUQ      ",CRM,"W45Q      ",47007,0000000800166213800,10905000000,2330000000,13235000000,20000000000,40000000000,60000000000
1260819,111052,"ZZFP      ",CRM,"W29P      ",27006,0000000000000000000,510000000,13640000000,14150000000,1000000000,14000000000,15000000000
1260819,140005,"4402      ",ATM50K,"Z34N      ",47007,0000000800034860600,5315000000,0,5315000000,20000000000,0,20000000000
1260819,154053,"4707      ",ATM50K,"Z3CE      ",47007,0000000800183091300,21160000000,0,21160000000,30000000000,0,30000000000
1260819,91122,"8274      ",ATM100K,"Z2MV      ",27515,0000000000000000000,0,23480000000,23480000000,0,30000000000,30000000000
1260819,193600,"ZZY4      ",CRM,"W20Y      ",47007,0000000800164118500,14405000000,10760000000,25165000000,15000000000,10000000000,25000000000
1260819,92245,"ZZGP      ",CRM,"W28P      ",27515,0000000000000000000,12025000000,5090000000,17115000000,2000000000,4000000000,6000000000
1260819,105912,"A918      ",ATM50K,"Z7DN      ",47007,0000000800184942600,625000000,0,625000000,0,0,0
1260819,145427,"3510      ",ATM50K,"Z16M      ",20017,0000000000000000000,5815000000,0,5815000000,10000000000,0,10000000000
1260819,85916,"B651      ",ATM100K,"Z8FA      ",34082,0000000000000000000,0,5760000000,5760000000,0,10000000000,10000000000
1260819,95519,"6469      ",ATM50K,"Z226      ",47007,0000000800164118500,24575000000,0,24575000000,37500000000,0,0
1260819,185232,"ZZOL      ",CRM,"W39L      ",8018,0000000000000000000,475000000,4880000000,5355000000,2000000000,3000000000,5000000000
1260819,142339,"ZZBR      ",CRM,"W1RR      ",47007,0000000800034997200,14955000000,6620000000,21575000000,16800000000,6000000000,22800000000
1260819,125024,"A540      ",ATM50K,"Z6PP      ",47007,0000000800164118500,0,0,0,37500000000,0,37500000000
1260819,133402,"3129      ",ATM50K,"Z0WU      ",47007,0000000800034805600,6350000000,0,6350000000,18500000000,0,18500000000
1260819,85948,"ZZLF      ",CRM,"W36F      ",39018,0000000000000000000,3390000000,8870000000,12260000000,5000000000,5000000000,10000000000
1260819,63934,"6762      ",ATM50K,"Z29S      ",47007,0000000800164118500,9630000000,0,9630000000,40000000000,0,40000000000
1260819,153805,"5748      ",ATM100K,"Z40K      ",47007,0000000800034997200,0,10840000000,10840000000,0,18000000000,18000000000
1260819,93920,"ZZI3      ",CRM,"W19I      ",23040,0000000000000000000,10595000000,20610000000,31205000000,5000000000,2000000000,7000000000
1260819,4845,"ZZS2      ",CRM,"W18S      ",47007,0000000800181276100,3165000000,10430000000,13595000000,4000000000,7000000000,11000000000
1260819,124558,"A391      ",ATM100K,"Z5M0      ",47007,0000000800034997200,0,4030000000,4030000000,0,20000000000,20000000000
1260819,153639,"ZZT4      ",CRM,"W20T      ",24003,0000000000000000000,1035000000,13370000000,14405000000,5000000000,10000000000,15000000000
1260819,113639,"6610      ",ATM50K,"Z25V      ",47007,0000000800034997200,200000000,0,200000000,42600000000,0,42600000000
1260819,193344,"ZZUM      ",CRM,"W45M      ",47007,0000000800178541700,1385000000,1490000000,2875000000,9000000000,12000000000,21000000000
1260819,151015,"H208      ",CRM,"W57L      ",24003,0000000000000000000,0,0,0,0,0,0
1260819,82120,"ZZ1C      ",CRM,"W04C      ",47007,0000000800164118500,545000000,31150000000,31695000000,3500000000,28000000000,31500000000
1260819,130320,"ZZ2X      ",CRM,"W05X      ",47007,0000000800166213800,10725000000,10050000000,20775000000,20000000000,40000000000,60000000000
1260819,122201,"1250      ",ATM100K,"Z06J      ",16033,0000000000000000000,0,33440000000,33440000000,0,20000000000,20000000000
1260819,75403,"H108      ",CRM,"W52P      ",43502,0000000000000000000,530000000,13300000000,13830000000,5000000000,10000000000,15000000000
1260819,83135,"3770      ",ATM100K,"Z1DF      ",20013,0000000000000000000,0,310000000,310000000,0,20000000000,20000000000
1260819,152113,"B037      ",ATM50K,"Z7IC      ",39015,0000000000000000000,2685000000,0,2685000000,10000000000,0,10000000000
1260819,155204,"6998      ",ATM50K,"Z2FY      ",34010,0000000000000000000,5670000000,0,5670000000,10000000000,0,10000000000
1260819,114232,"1092      ",ATM50K,"Z02E      ",47007,0000000800184550900,10270000000,0,10270000000,30000000000,0,30000000000
