TGLREPLENISH,JAMREPLENISH,ATMID,TYPEATMCRM,TELLERID,CABANG,ESCROW,REFUNDDENOM50K,REFUNDDENOM100K,REFUNDTOTAL,REPLENISHDENOM50K,REPLENISHDENOM100K,REPLENISHTOTAL
1260820,91246,"2360      ",ATM100K,"Z0QP      ",29000,0000000000000000000,0,9350000000,9350000000,0,20000000000,20000000000
1260820,144239,"A675      ",ATM50K,"Z6TE      ",47007,0000000800178531200,0,0,0,16000000000,0,16000000000
1260820,173952,"6735      ",ATM50K,"Z291      ",47007,0000000800164118500,6725000000,0,6725000000,40000000000,0,40000000000
1260820,91513,"8281      ",ATM100K,"Z2N1      ",24019,0000000000000000000,0,44060000000,44060000000,0,60000000000,60000000000
1260820,102401,"4608      ",ATM50K,"Z39U      ",47007,0000000800181276100,3190000000,0,3190000000,21000000000,0,21000000000
1260820,91430,"ZZEH      ",CRM,"W27H      ",29000,0000000000000000000,2340000000,6160000000,8500000000,2000000000,4000000000,6000000000
1260820,203357,"A052      ",ATM50K,"Z4DP      ",47007,0000000800035018400,3160000000,0,3160000000,25000000000,0,25000000000
1260820,112954,"1563      ",ATM50K,"Z0EI      ",47007,0000000800164118500,5425000000,0,5425000000,26500000000,0,26500000000
1260820,83341,"ZZKJ      ",CRM,"W35J      ",29026,0000000000000000000,6690000000,37730000000,44420000000,4000000000,6000000000,10000000000
1260820,110037,"3898      ",ATM50K,"Z1GX      ",47007,0000000800035018400,21635000000,0,21635000000,25000000000,0,25000000000
1260820,91050,"ZZX2      ",CRM,"W18X      ",47007,0000000800164118500,3075000000,32840000000,35915000000,4000000000,28000000000,32000000000
1260820,130001,"1050      ",ATM50K,"Z01A      ",4016,0000000000000000000,5945000000,0,5945000000,15000000000,0,15000000000
1260820,103950,"1705      ",ATM50K,"Z0I2      ",47007,0000000800164118500,5395000000,0,5395000000,30000000000,0,30000000000
1260820,123920,"ZZ6E      ",CRM,"W12E      ",47007,0000000800184550900,8460000000,23340000000,31800000000,10000000000,20000000000,30000000000
1260820,111402,"B385      ",ATM50K,"Z7NL      ",47007,0000000800035018400,12835000000,0,12835000000,30000000000,0,30000000000
1260820,144324,"1849      ",ATM50K,"Z0KZ      ",47007,0000000800035018400,13855000000,0,13855000000,20000000000,0,20000000000
1260820,105241,"ZZE4      ",CRM,"W20E      ",39061,0000000000000000000,4220000000,12210000000,16430000000,4000000000,6000000000,10000000000
1260820,93735,"ZZPN      ",CRM,"W40N      ",34063,0000000000000000000,4485000000,21650000000,26135000000,5000000000,10000000000,15000000000
1260820,163834,"A067      ",ATM50K,"Z4E4      ",47007,0000000800035018400,11045000000,0,11045000000,30000000000,0,30000000000
1260820,134323,"ZZG4      ",CRM,"W20G      ",32000,0000000000000000000,3850000000,15820000000,19670000000,2000000000,4000000000,6000000000
1260820,103239,"ZZWH      ",CRM,"W47H      ",47007,0000000800164118500,0,0,0,0,0,0
1260820,113621,"ZZTP      ",CRM,"W44P      ",47007,0000000800164118500,4195000000,46140000000,50335000000,5000000000,5000000000,10000000000
1260820,151708,"ZZ05      ",CRM,"W008      ",47007,0000000800164118500,0,0,0,0,0,0
1260820,135000,"ZZRD      ",CRM,"W42D      ",29020,0000000000000000000,6580000000,2100000000,8680000000,7500000000,1000000000,8500000000
1260820,90343,"3005      ",ATM100K,"Z0TM      ",39066,0000000000000000000,0,16190000000,16190000000,0,20000000000,20000000000
1260820,71202,"8573      ",ATM100K,"Z2R6      ",43501,0000000000000000000,0,5460000000,5460000000,0,15000000000,15000000000
1260820,152444,"H322      ",CRM,"W61V      ",27524,0000000000000000000,3900000000,9010000000,12910000000,5000000000,10000000000,15000000000
1260820,175440,"H160      ",CRM,"W55P      ",33,0000000000000000000,"-15000000",0,"-15000000",0,0,0
1260820,115126,"H118      ",CRM,"W52Z      ",47007,0000000800164118500,6835000000,10560000000,17395000000,3000000000,5000000000,8000000000
1260820,131606,"H219      ",CRM,"W57W      ",29014,0000000000000000000,2070000000,840000000,2910000000,2000000000,3000000000,5000000000
1260820,132141,"1412      ",ATM50K,"Z0AL      ",47007,0000000800164118500,6090000000,0,6090000000,40000000000,0,40000000000
1260820,113538,"6436      ",ATM50K,"Z21A      ",47007,0000000800164118500,4815000000,0,4815000000,16000000000,0,16000000000
1260820,155743,"H184      ",CRM,"W56N      ",47007,0000000800034805600,1110000000,1540000000,2650000000,10000000000,20000000000,30000000000
1260820,100138,"H228      ",CRM,"W58F      ",39072,0000000000000000000,2045000000,10180000000,12225000000,5000000000,10000000000,15000000000
1260820,110437,"A286      ",ATM50K,"Z4K8      ",47007,0000000800034862000,3785000000,0,3785000000,15000000000,0,15000000000
1260820,125932,"4729      ",ATM50K,"Z3CY      ",47007,0000000800164118500,6435000000,0,6435000000,38500000000,0,38500000000
1260820,150306,"3592      ",ATM100K,"Z18L      ",34031,0000000000000000000,0,3310000000,3310000000,0,40000000000,40000000000
1260820,91020,"3230      ",ATM100K,"Z0ZF      ",4012,0000000000000000000,0,5000000000,5000000000,0,20000000000,20000000000
1260820,123039,"ZZS8      ",CRM,"W23S      ",24040,0000000000000000000,13275000000,34180000000,47455000000,2000000000,4000000000,6000000000
1260820,132509,"ZZTL      ",CRM,"W44L      ",47007,0000000800164118500,11830000000,14380000000,26210000000,5000000000,5000000000,10000000000
1260820,200257,"B490      ",ATM100K,"Z7RL      ",47007,0000000800034997200,0,11000000000,11000000000,0,40000000000,40000000000
1260820,112709,"4667      ",ATM50K,"Z3BE      ",47007,0000000800164118500,3825000000,0,3825000000,22000000000,0,22000000000
1260820,100437,"6025      ",ATM100K,"Z1QZ      ",40,0000000000000000000,0,18570000000,18570000000,0,20000000000,20000000000
1260820,182956,"4706      ",ATM50K,"Z3CD      ",47007,0000000800035018400,34580000000,0,34580000000,0,0,0
1260820,150410,"B364      ",ATM50K,"Z7MS      ",47007,0000000800178541700,4405000000,0,4405000000,10000000000,0,20000000000
1260820,92144,"ZZT5      ",CRM,"W21T      ",8012,0000000000000000000,3115000000,16270000000,19385000000,5000000000,10000000000,15000000000
1260820,94232,"8189      ",ATM100K,"Z2KQ      ",39016,0000000000000000000,0,9100000000,9100000000,0,10000000000,10000000000
1260820,101517,"H147      ",CRM,"W55C      ",48,0000000000000000000,4980000000,14850000000,19830000000,10000000000,20000000000,30000000000
1260820,82940,"ZZSE      ",CRM,"W43E      ",29010,0000000000000000000,4895000000,3260000000,8155000000,2000000000,5000000000,7000000000
1260820,133216,"6564      ",ATM50K,"Z24Q      ",47007,0000000800164118500,5215000000,0,5215000000,33500000000,0,33500000000
1260820,200807,"6628      ",ATM50K,"Z26C      ",47007,0000000800181276100,14365000000,0,14365000000,21000000000,0,21000000000
1260820,114157,"6614      ",ATM50K,"Z25Z      ",47007,0000000800034997200,7710000000,0,7710000000,24600000000,0,24600000000
1260820,95632,"8902      ",ATM50K,"Z2SP      ",12006,0000000000000000000,6605000000,0,6605000000,10000000000,0,10000000000
1260820,103507,"A655      ",ATM50K,"Z6SW      ",47007,0000000800035018400,11100000000,0,11100000000,30000000000,0,30000000000
1260820,94442,"8472      ",ATM100K,"Z2PK      ",34063,0000000000000000000,0,8990000000,8990000000,0,20000000000,20000000000
1260820,102733,"ZZGI      ",CRM,"W28I      ",27501,0000000000000000000,8570000000,15390000000,23960000000,5000000000,10000000000,15000000000
1260820,91158,"A732      ",ATM50K,"Z6VK      ",24019,0000000000000000000,21725000000,0,21725000000,30000000000,0,30000000000
1260820,103922,"ZZAE      ",CRM,"W1AE      ",23037,0000000000000000000,4520000000,11360000000,15880000000,5000000000,10000000000,15000000000
1260820,122333,"6111      ",ATM50K,"Z1TB      ",47007,0000000800164118500,0,0,0,36000000000,0,36000000000
1260820,144517,"A925      ",ATM50K,"Z7DU      ",28505,0000000000000000000,5000000000,0,5000000000,5000000000,0,0
1260820,81110,"8681      ",ATM100K,"Z2S2      ",43501,0000000000000000000,0,7400000000,7400000000,0,20000000000,20000000000
1260820,114111,"8124      ",ATM100K,"Z2J4      ",24000,0000000000000000000,0,8410000000,8410000000,0,20000000000,20000000000
1260820,162417,"A657      ",ATM50K,"Z6SY      ",29035,0000000000000000000,14575000000,0,14575000000,20000000000,0,20000000000
1260820,132919,"3171      ",ATM50K,"Z0XS      ",47007,0000000800164118500,15020000000,0,15020000000,40000000000,0,40000000000
1260820,131033,"B274      ",ATM50K,"Z7KL      ",47007,0000000800166213800,10695000000,0,10695000000,40000000000,0,40000000000
1260820,114614,"ZZAZ      ",CRM,"W1AZ      ",34057,0000000000000000000,5365000000,33070000000,38435000000,5000000000,10000000000,15000000000
1260820,90456,"4246      ",ATM50K,"Z30Q      ",47007,0000000800164118500,4145000000,0,4145000000,36000000000,0,0
1260820,142412,"ZZ93      ",CRM,"W02P      ",47007,0000000800164118500,1295000000,28920000000,30215000000,1500000000,28000000000,29500000000
1260820,151741,"H141      ",CRM,"W54W      ",34073,0000000000000000000,4670000000,8230000000,12900000000,5000000000,10000000000,15000000000
1260820,111347,"H321      ",CRM,"W61U      ",27524,0000000000000000000,4175000000,8120000000,12295000000,5000000000,10000000000,15000000000
1260820,161835,"3476      ",ATM50K,"Z15Q      ",47007,0000000800151986200,7030000000,0,7030000000,30000000000,0,30000000000
1260820,101116,"A118      ",ATM100K,"Z4FJ      ",29034,0000000000000000000,0,0,0,0,0,5000000000
1260820,111933,"H393      ",CRM,"W64O      ",39085,0000000000000000000,1285000000,3150000000,4435000000,2000000000,3000000000,5000000000
1260820,193025,"5902      ",ATM100K,"Z444      ",47007,0000000800034804500,0,0,0,0,0,21000000000
1260820,184218,"ZZOE      ",CRM,"W39E      ",33,0000000000000000000,0,0,0,0,0,0
1260820,104857,"ZZM3      ",CRM,"W19M      ",23030,0000000000000000000,2255000000,2660000000,4915000000,5000000000,0,5000000000
1260820,121501,"ZZDF      ",CRM,"W26F      ",24015,0000000000000000000,0,0,0,0,0,0
1260820,122355,"4696      ",ATM50K,"Z3C4      ",47007,0000000800184550900,0,0,0,20000000000,0,20000000000
1260820,65827,"H076      ",CRM,"W51H      ",30000,0000000000000000000,24445000000,44180000000,68625000000,1000000000,2000000000,3000000000
