TGLREPLENISH,JAMREPLENISH,ATMID,TYPEATMCRM,TELLERID,CABANG,ESCROW,REFUNDDENOM50K,REFUNDDENOM100K,REFUNDTOTAL,REPLENISHDENOM50K,REPLENISHDENOM100K,REPLENISHTOTAL
1260818,71734,"8166      ",ATM100K,"Z2K5      ",43505,0000000000000000000,0,20530000000,20530000000,0,20000000000,20000000000
1260818,70059,"1348      ",ATM50K,"Z08Y      ",47007,0000000800164118500,15240000000,0,15240000000,30000000000,0,30000000000
1260818,100239,"6832      ",ATM50K,"Z2BJ      ",47007,0000000800164118500,6660000000,0,6660000000,30000000000,0,30000000000
1260818,180730,"ZZSX      ",CRM,"W43X      ",23024,0000000000000000000,2450000000,3260000000,5710000000,5000000000,0,5000000000
1260818,110435,"6960      ",ATM100K,"Z2F0      ",4021,0000000000000000000,0,7810000000,7810000000,0,10000000000,10000000000
1260818,92820,"3629      ",ATM100K,"Z19M      ",31002,0000000000000000000,0,12880000000,12880000000,0,20000000000,20000000000
1260818,82038,"9408      ",ATM50K,"Z2V4      ",24038,0000000000000000000,24520000000,0,24520000000,20000000000,0,20000000000
1260818,100351,"ZZO4      ",CRM,"W20O      ",24011,0000000000000000000,13490000000,29040000000,42530000000,2000000000,4000000000,6000000000
1260818,135900,"A131      ",ATM50K,"Z4FW      ",47007,0000000800034805600,10535000000,0,10535000000,36000000000,0,36000000000
1260818,184025,"H163      ",CRM,"W55S      ",47007,0000000800034806800,935000000,6160000000,7095000000,12000000000,14000000000,26000000000
1260818,225911,"1004      ",ATM50K,"Z003      ",47007,0000000800164118500,7665000000,0,7665000000,23500000000,0,23500000000
1260818,145059,"A925      ",ATM50K,"Z7DU      ",28505,0000000000000000000,4955000000,0,4955000000,0,0,0
1260818,93502,"1246      ",ATM50K,"Z06G      ",47007,0000000800034806800,10125000000,0,10125000000,32500000000,0,32500000000
1260819,3431,"A067      ",ATM50K,"Z4E4      ",47007,0000000800035018400,5265000000,0,5265000000,23000000000,0,23000000000
1260818,151940,"A753      ",ATM100K,"Z6WF      ",42004,0000000000000000000,0,70000000,70000000,0,20000000000,20000000000
1260818,102543,"1471      ",ATM100K,"Z0C8      ",29000,0000000000000000000,0,11320000000,11320000000,0,10000000000,10000000000
1260818,93500,"6777      ",ATM50K,"Z2A7      ",47007,0000000800164118500,4610000000,0,4610000000,30000000000,0,30000000000
1260818,84013,"3656      ",ATM100K,"Z1AB      ",39022,0000000000000000000,0,24670000000,24670000000,0,10000000000,10000000000
1260818,122354,"4861      ",ATM50K,"Z3GA      ",47007,0000000800164118500,14845000000,0,14845000000,30000000000,0,30000000000
1260818,102228,"1172      ",ATM100K,"Z04K      ",34041,0000000000000000000,0,24010000000,24010000000,0,20000000000,20000000000
1260818,195710,"ZZVN      ",CRM,"W46N      ",47007,0000000800164118500,3685000000,4370000000,8055000000,5000000000,10000000000,15000000000
1260818,83601,"ZZ26      ",CRM,"W00U      ",47007,0000000800164118500,4320000000,30950000000,35270000000,5000000000,10000000000,15000000000
1260818,32931,"6529      ",ATM50K,"Z23R      ",47007,0000000800178541700,5330000000,0,5330000000,18000000000,0,18000000000
1260818,145306,"3340      ",ATM50K,"Z127      ",29014,0000000000000000000,19190000000,0,19190000000,10000000000,0,10000000000
1260818,100624,"2830      ",ATM100K,"Z0SU      ",20007,0000000000000000000,0,32310000000,32310000000,0,20000000000,20000000000
1260818,74844,"3280      ",ATM100K,"Z10Q      ",47007,0000000800164118500,0,15250000000,15250000000,0,44000000000,44000000000
1260818,74422,"1857      ",ATM100K,"Z0L7      ",47007,0000000800164118500,0,38420000000,38420000000,0,50000000000,50000000000
